pair,a,b
ABEV3-ALOS3,ABEV3,ALOS3
ABEV3-ASAI3,ABEV3,ASAI3
ABEV3-AURE3,ABEV3,AURE3
ABEV3-AZZA3,ABEV3,AZZA3
ABEV3-B3SA3,ABEV3,B3SA3
ABEV3-BBAS3,ABEV3,BBAS3
ABEV3-BBDC3,ABEV3,BBDC3
ABEV3-BBDC4,ABEV3,BBDC4
ABEV3-BBSE3,ABEV3,BBSE3
ABEV3-BEEF3,ABEV3,BEEF3
ABEV3-BPAC11,ABEV3,BPAC11
ABEV3-BRAP4,ABEV3,BRAP4
ABEV3-BRAV3,ABEV3,BRAV3
ABEV3-BRFS3,ABEV3,BRFS3
ABEV3-BRKM5,ABEV3,BRKM5
ABEV3-CMIG4,ABEV3,CMIG4
ABEV3-CMIN3,ABEV3,CMIN3
ABEV3-COGN3,ABEV3,COGN3
ABEV3-CPFE3,ABEV3,CPFE3
ABEV3-CPLE6,ABEV3,CPLE6
ABEV3-CSAN3,ABEV3,CSAN3
ABEV3-CSNA3,ABEV3,CSNA3
ABEV3-CVCB3,ABEV3,CVCB3
ABEV3-CXSE3,ABEV3,CXSE3
ABEV3-CYRE3,ABEV3,CYRE3
ABEV3-DIRR3,ABEV3,DIRR3
ABEV3-EGIE3,ABEV3,EGIE3
ABEV3-ELET3,ABEV3,ELET3
ABEV3-ELET6,ABEV3,ELET6
ABEV3-EMBR3,ABEV3,EMBR3
ABEV3-ENEV3,ABEV3,ENEV3
ABEV3-ENGI11,ABEV3,ENGI11
ABEV3-EQTL3,ABEV3,EQTL3
ABEV3-FLRY3,ABEV3,FLRY3
ABEV3-GGBR4,ABEV3,GGBR4
ABEV3-GOAU4,ABEV3,GOAU4
ABEV3-HYPE3,ABEV3,HYPE3
ABEV3-IGTI11,ABEV3,IGTI11
ABEV3-ISAE4,ABEV3,ISAE4
ABEV3-ITSA4,ABEV3,ITSA4
ABEV3-ITUB4,ABEV3,ITUB4
ABEV3-KLBN11,ABEV3,KLBN11
ABEV3-LREN3,ABEV3,LREN3
ABEV3-MOTV3,ABEV3,MOTV3
ABEV3-MRFG3,ABEV3,MRFG3
ABEV3-MRVE3,ABEV3,MRVE3
ABEV3-MULT3,ABEV3,MULT3
ABEV3-NATU3,ABEV3,NATU3
ABEV3-PETR3,ABEV3,PETR3
ABEV3-PETR4,ABEV3,PETR4
ABEV3-PETZ3,ABEV3,PETZ3
ABEV3-POMO4,ABEV3,POMO4
ABEV3-PRIO3,ABEV3,PRIO3
ABEV3-PSSA3,ABEV3,PSSA3
ABEV3-RADL3,ABEV3,RADL3
ABEV3-RAIL3,ABEV3,RAIL3
ABEV3-RAIZ4,ABEV3,RAIZ4
ABEV3-RDOR3,ABEV3,RDOR3
ABEV3-RECV3,ABEV3,RECV3
ABEV3-RENT3,ABEV3,RENT3
ABEV3-SANB11,ABEV3,SANB11
ABEV3-SBSP3,ABEV3,SBSP3
ABEV3-SLCE3,ABEV3,SLCE3
ABEV3-SMFT3,ABEV3,SMFT3
ABEV3-SMTO3,ABEV3,SMTO3
ABEV3-STBP3,ABEV3,STBP3
ABEV3-TAEE11,ABEV3,TAEE11
ABEV3-TIMS3,ABEV3,TIMS3
ABEV3-TOTS3,ABEV3,TOTS3
ABEV3-UGPA3,ABEV3,UGPA3
ABEV3-USIM5,ABEV3,USIM5
ABEV3-VALE3,ABEV3,VALE3
ABEV3-VAMO3,ABEV3,VAMO3
ABEV3-VIVA3,ABEV3,VIVA3
ABEV3-VIVT3,ABEV3,VIVT3
ABEV3-WEGE3,ABEV3,WEGE3
ABEV3-YDUQ3,ABEV3,YDUQ3
ALOS3-ASAI3,ALOS3,ASAI3
ALOS3-AURE3,ALOS3,AURE3
ALOS3-AZZA3,ALOS3,AZZA3
ALOS3-B3SA3,ALOS3,B3SA3
ALOS3-BBAS3,ALOS3,BBAS3
ALOS3-BBDC3,ALOS3,BBDC3
ALOS3-BBDC4,ALOS3,BBDC4
ALOS3-BBSE3,ALOS3,BBSE3
ALOS3-BEEF3,ALOS3,BEEF3
ALOS3-BPAC11,ALOS3,BPAC11
ALOS3-BRAP4,ALOS3,BRAP4
ALOS3-BRAV3,ALOS3,BRAV3
ALOS3-BRFS3,ALOS3,BRFS3
ALOS3-BRKM5,ALOS3,BRKM5
ALOS3-CMIG4,ALOS3,CMIG4
ALOS3-CMIN3,ALOS3,CMIN3
ALOS3-COGN3,ALOS3,COGN3
ALOS3-CPFE3,ALOS3,CPFE3
ALOS3-CPLE6,ALOS3,CPLE6
ALOS3-CSAN3,ALOS3,CSAN3
ALOS3-CSNA3,ALOS3,CSNA3
ALOS3-CVCB3,ALOS3,CVCB3
ALOS3-CXSE3,ALOS3,CXSE3
ALOS3-CYRE3,ALOS3,CYRE3
ALOS3-DIRR3,ALOS3,DIRR3
ALOS3-EGIE3,ALOS3,EGIE3
ALOS3-ELET3,ALOS3,ELET3
ALOS3-ELET6,ALOS3,ELET6
ALOS3-EMBR3,ALOS3,EMBR3
ALOS3-ENEV3,ALOS3,ENEV3
ALOS3-ENGI11,ALOS3,ENGI11
ALOS3-EQTL3,ALOS3,EQTL3
ALOS3-FLRY3,ALOS3,FLRY3
ALOS3-GGBR4,ALOS3,GGBR4
ALOS3-GOAU4,ALOS3,GOAU4
ALOS3-HYPE3,ALOS3,HYPE3
ALOS3-IGTI11,ALOS3,IGTI11
ALOS3-ISAE4,ALOS3,ISAE4
ALOS3-ITSA4,ALOS3,ITSA4
ALOS3-ITUB4,ALOS3,ITUB4
ALOS3-KLBN11,ALOS3,KLBN11
ALOS3-LREN3,ALOS3,LREN3
ALOS3-MOTV3,ALOS3,MOTV3
ALOS3-MRFG3,ALOS3,MRFG3
ALOS3-MRVE3,ALOS3,MRVE3
ALOS3-MULT3,ALOS3,MULT3
ALOS3-NATU3,ALOS3,NATU3
ALOS3-PETR3,ALOS3,PETR3
ALOS3-PETR4,ALOS3,PETR4
ALOS3-PETZ3,ALOS3,PETZ3
ALOS3-POMO4,ALOS3,POMO4
ALOS3-PRIO3,ALOS3,PRIO3
ALOS3-PSSA3,ALOS3,PSSA3
ALOS3-RADL3,ALOS3,RADL3
ALOS3-RAIL3,ALOS3,RAIL3
ALOS3-RAIZ4,ALOS3,RAIZ4
ALOS3-RDOR3,ALOS3,RDOR3
ALOS3-RECV3,ALOS3,RECV3
ALOS3-RENT3,ALOS3,RENT3
ALOS3-SANB11,ALOS3,SANB11
ALOS3-SBSP3,ALOS3,SBSP3
ALOS3-SLCE3,ALOS3,SLCE3
ALOS3-SMFT3,ALOS3,SMFT3
ALOS3-SMTO3,ALOS3,SMTO3
ALOS3-STBP3,ALOS3,STBP3
ALOS3-TAEE11,ALOS3,TAEE11
ALOS3-TIMS3,ALOS3,TIMS3
ALOS3-TOTS3,ALOS3,TOTS3
ALOS3-UGPA3,ALOS3,UGPA3
ALOS3-USIM5,ALOS3,USIM5
ALOS3-VALE3,ALOS3,VALE3
ALOS3-VAMO3,ALOS3,VAMO3
ALOS3-VIVA3,ALOS3,VIVA3
ALOS3-VIVT3,ALOS3,VIVT3
ALOS3-WEGE3,ALOS3,WEGE3
ALOS3-YDUQ3,ALOS3,YDUQ3
ASAI3-AURE3,ASAI3,AURE3
ASAI3-AZZA3,ASAI3,AZZA3
ASAI3-B3SA3,ASAI3,B3SA3
ASAI3-BBAS3,ASAI3,BBAS3
ASAI3-BBDC3,ASAI3,BBDC3
ASAI3-BBDC4,ASAI3,BBDC4
ASAI3-BBSE3,ASAI3,BBSE3
ASAI3-BEEF3,ASAI3,BEEF3
ASAI3-BPAC11,ASAI3,BPAC11
ASAI3-BRAP4,ASAI3,BRAP4
ASAI3-BRAV3,ASAI3,BRAV3
ASAI3-BRFS3,ASAI3,BRFS3
ASAI3-BRKM5,ASAI3,BRKM5
ASAI3-CMIG4,ASAI3,CMIG4
ASAI3-CMIN3,ASAI3,CMIN3
ASAI3-COGN3,ASAI3,COGN3
ASAI3-CPFE3,ASAI3,CPFE3
ASAI3-CPLE6,ASAI3,CPLE6
ASAI3-CSAN3,ASAI3,CSAN3
ASAI3-CSNA3,ASAI3,CSNA3
ASAI3-CVCB3,ASAI3,CVCB3
ASAI3-CXSE3,ASAI3,CXSE3
ASAI3-CYRE3,ASAI3,CYRE3
ASAI3-DIRR3,ASAI3,DIRR3
ASAI3-EGIE3,ASAI3,EGIE3
ASAI3-ELET3,ASAI3,ELET3
ASAI3-ELET6,ASAI3,ELET6
ASAI3-EMBR3,ASAI3,EMBR3
ASAI3-ENEV3,ASAI3,ENEV3
ASAI3-ENGI11,ASAI3,ENGI11
ASAI3-EQTL3,ASAI3,EQTL3
ASAI3-FLRY3,ASAI3,FLRY3
ASAI3-GGBR4,ASAI3,GGBR4
ASAI3-GOAU4,ASAI3,GOAU4
ASAI3-HYPE3,ASAI3,HYPE3
ASAI3-IGTI11,ASAI3,IGTI11
ASAI3-ISAE4,ASAI3,ISAE4
ASAI3-ITSA4,ASAI3,ITSA4
ASAI3-ITUB4,ASAI3,ITUB4
ASAI3-KLBN11,ASAI3,KLBN11
ASAI3-LREN3,ASAI3,LREN3
ASAI3-MOTV3,ASAI3,MOTV3
ASAI3-MRFG3,ASAI3,MRFG3
ASAI3-MRVE3,ASAI3,MRVE3
ASAI3-MULT3,ASAI3,MULT3
ASAI3-NATU3,ASAI3,NATU3
ASAI3-PETR3,ASAI3,PETR3
ASAI3-PETR4,ASAI3,PETR4
ASAI3-PETZ3,ASAI3,PETZ3
ASAI3-POMO4,ASAI3,POMO4
ASAI3-PRIO3,ASAI3,PRIO3
ASAI3-PSSA3,ASAI3,PSSA3
ASAI3-RADL3,ASAI3,RADL3
ASAI3-RAIL3,ASAI3,RAIL3
ASAI3-RAIZ4,ASAI3,RAIZ4
ASAI3-RDOR3,ASAI3,RDOR3
ASAI3-RECV3,ASAI3,RECV3
ASAI3-RENT3,ASAI3,RENT3
ASAI3-SANB11,ASAI3,SANB11
ASAI3-SBSP3,ASAI3,SBSP3
ASAI3-SLCE3,ASAI3,SLCE3
ASAI3-SMFT3,ASAI3,SMFT3
ASAI3-SMTO3,ASAI3,SMTO3
ASAI3-STBP3,ASAI3,STBP3
ASAI3-TAEE11,ASAI3,TAEE11
ASAI3-TIMS3,ASAI3,TIMS3
ASAI3-TOTS3,ASAI3,TOTS3
ASAI3-UGPA3,ASAI3,UGPA3
ASAI3-USIM5,ASAI3,USIM5
ASAI3-VALE3,ASAI3,VALE3
ASAI3-VAMO3,ASAI3,VAMO3
ASAI3-VIVA3,ASAI3,VIVA3
ASAI3-VIVT3,ASAI3,VIVT3
ASAI3-WEGE3,ASAI3,WEGE3
ASAI3-YDUQ3,ASAI3,YDUQ3
AURE3-AZZA3,AURE3,AZZA3
AURE3-B3SA3,AURE3,B3SA3
AURE3-BBAS3,AURE3,BBAS3
AURE3-BBDC3,AURE3,BBDC3
AURE3-BBDC4,AURE3,BBDC4
AURE3-BBSE3,AURE3,BBSE3
AURE3-BEEF3,AURE3,BEEF3
AURE3-BPAC11,AURE3,BPAC11
AURE3-BRAP4,AURE3,BRAP4
AURE3-BRAV3,AURE3,BRAV3
AURE3-BRFS3,AURE3,BRFS3
AURE3-BRKM5,AURE3,BRKM5
AURE3-CMIG4,AURE3,CMIG4
AURE3-CMIN3,AURE3,CMIN3
AURE3-COGN3,AURE3,COGN3
AURE3-CPFE3,AURE3,CPFE3
AURE3-CPLE6,AURE3,CPLE6
AURE3-CSAN3,AURE3,CSAN3
AURE3-CSNA3,AURE3,CSNA3
AURE3-CVCB3,AURE3,CVCB3
AURE3-CXSE3,AURE3,CXSE3
AURE3-CYRE3,AURE3,CYRE3
AURE3-DIRR3,AURE3,DIRR3
AURE3-EGIE3,AURE3,EGIE3
AURE3-ELET3,AURE3,ELET3
AURE3-ELET6,AURE3,ELET6
AURE3-EMBR3,AURE3,EMBR3
AURE3-ENEV3,AURE3,ENEV3
AURE3-ENGI11,AURE3,ENGI11
AURE3-EQTL3,AURE3,EQTL3
AURE3-FLRY3,AURE3,FLRY3
AURE3-GGBR4,AURE3,GGBR4
AURE3-GOAU4,AURE3,GOAU4
AURE3-HYPE3,AURE3,HYPE3
AURE3-IGTI11,AURE3,IGTI11
AURE3-ISAE4,AURE3,ISAE4
AURE3-ITSA4,AURE3,ITSA4
AURE3-ITUB4,AURE3,ITUB4
AURE3-KLBN11,AURE3,KLBN11
AURE3-LREN3,AURE3,LREN3
AURE3-MOTV3,AURE3,MOTV3
AURE3-MRFG3,AURE3,MRFG3
AURE3-MRVE3,AURE3,MRVE3
AURE3-MULT3,AURE3,MULT3
AURE3-NATU3,AURE3,NATU3
AURE3-PETR3,AURE3,PETR3
AURE3-PETR4,AURE3,PETR4
AURE3-PETZ3,AURE3,PETZ3
AURE3-POMO4,AURE3,POMO4
AURE3-PRIO3,AURE3,PRIO3
AURE3-PSSA3,AURE3,PSSA3
AURE3-RADL3,AURE3,RADL3
AURE3-RAIL3,AURE3,RAIL3
AURE3-RAIZ4,AURE3,RAIZ4
AURE3-RDOR3,AURE3,RDOR3
AURE3-RECV3,AURE3,RECV3
AURE3-RENT3,AURE3,RENT3
AURE3-SANB11,AURE3,SANB11
AURE3-SBSP3,AURE3,SBSP3
AURE3-SLCE3,AURE3,SLCE3
AURE3-SMFT3,AURE3,SMFT3
AURE3-SMTO3,AURE3,SMTO3
AURE3-STBP3,AURE3,STBP3
AURE3-TAEE11,AURE3,TAEE11
AURE3-TIMS3,AURE3,TIMS3
AURE3-TOTS3,AURE3,TOTS3
AURE3-UGPA3,AURE3,UGPA3
AURE3-USIM5,AURE3,USIM5
AURE3-VALE3,AURE3,VALE3
AURE3-VAMO3,AURE3,VAMO3
AURE3-VIVA3,AURE3,VIVA3
AURE3-VIVT3,AURE3,VIVT3
AURE3-WEGE3,AURE3,WEGE3
AURE3-YDUQ3,AURE3,YDUQ3
AZZA3-B3SA3,AZZA3,B3SA3
AZZA3-BBAS3,AZZA3,BBAS3
AZZA3-BBDC3,AZZA3,BBDC3
AZZA3-BBDC4,AZZA3,BBDC4
AZZA3-BBSE3,AZZA3,BBSE3
AZZA3-BEEF3,AZZA3,BEEF3
AZZA3-BPAC11,AZZA3,BPAC11
AZZA3-BRAP4,AZZA3,BRAP4
AZZA3-BRAV3,AZZA3,BRAV3
AZZA3-BRFS3,AZZA3,BRFS3
AZZA3-BRKM5,AZZA3,BRKM5
AZZA3-CMIG4,AZZA3,CMIG4
AZZA3-CMIN3,AZZA3,CMIN3
AZZA3-COGN3,AZZA3,COGN3
AZZA3-CPFE3,AZZA3,CPFE3
AZZA3-CPLE6,AZZA3,CPLE6
AZZA3-CSAN3,AZZA3,CSAN3
AZZA3-CSNA3,AZZA3,CSNA3
AZZA3-CVCB3,AZZA3,CVCB3
AZZA3-CXSE3,AZZA3,CXSE3
AZZA3-CYRE3,AZZA3,CYRE3
AZZA3-DIRR3,AZZA3,DIRR3
AZZA3-EGIE3,AZZA3,EGIE3
AZZA3-ELET3,AZZA3,ELET3
AZZA3-ELET6,AZZA3,ELET6
AZZA3-EMBR3,AZZA3,EMBR3
AZZA3-ENEV3,AZZA3,ENEV3
AZZA3-ENGI11,AZZA3,ENGI11
AZZA3-EQTL3,AZZA3,EQTL3
AZZA3-FLRY3,AZZA3,FLRY3
AZZA3-GGBR4,AZZA3,GGBR4
AZZA3-GOAU4,AZZA3,GOAU4
AZZA3-HYPE3,AZZA3,HYPE3
AZZA3-IGTI11,AZZA3,IGTI11
AZZA3-ISAE4,AZZA3,ISAE4
AZZA3-ITSA4,AZZA3,ITSA4
AZZA3-ITUB4,AZZA3,ITUB4
AZZA3-KLBN11,AZZA3,KLBN11
AZZA3-LREN3,AZZA3,LREN3
AZZA3-MOTV3,AZZA3,MOTV3
AZZA3-MRFG3,AZZA3,MRFG3
AZZA3-MRVE3,AZZA3,MRVE3
AZZA3-MULT3,AZZA3,MULT3
AZZA3-NATU3,AZZA3,NATU3
AZZA3-PETR3,AZZA3,PETR3
AZZA3-PETR4,AZZA3,PETR4
AZZA3-PETZ3,AZZA3,PETZ3
AZZA3-POMO4,AZZA3,POMO4
AZZA3-PRIO3,AZZA3,PRIO3
AZZA3-PSSA3,AZZA3,PSSA3
AZZA3-RADL3,AZZA3,RADL3
AZZA3-RAIL3,AZZA3,RAIL3
AZZA3-RAIZ4,AZZA3,RAIZ4
AZZA3-RDOR3,AZZA3,RDOR3
AZZA3-RECV3,AZZA3,RECV3
AZZA3-RENT3,AZZA3,RENT3
AZZA3-SANB11,AZZA3,SANB11
AZZA3-SBSP3,AZZA3,SBSP3
AZZA3-SLCE3,AZZA3,SLCE3
AZZA3-SMFT3,AZZA3,SMFT3
AZZA3-SMTO3,AZZA3,SMTO3
AZZA3-STBP3,AZZA3,STBP3
AZZA3-TAEE11,AZZA3,TAEE11
AZZA3-TIMS3,AZZA3,TIMS3
AZZA3-TOTS3,AZZA3,TOTS3
AZZA3-UGPA3,AZZA3,UGPA3
AZZA3-USIM5,AZZA3,USIM5
AZZA3-VALE3,AZZA3,VALE3
AZZA3-VAMO3,AZZA3,VAMO3
AZZA3-VIVA3,AZZA3,VIVA3
AZZA3-VIVT3,AZZA3,VIVT3
AZZA3-WEGE3,AZZA3,WEGE3
AZZA3-YDUQ3,AZZA3,YDUQ3
B3SA3-BBAS3,B3SA3,BBAS3
B3SA3-BBDC3,B3SA3,BBDC3
B3SA3-BBDC4,B3SA3,BBDC4
B3SA3-BBSE3,B3SA3,BBSE3
B3SA3-BEEF3,B3SA3,BEEF3
B3SA3-BPAC11,B3SA3,BPAC11
B3SA3-BRAP4,B3SA3,BRAP4
B3SA3-BRAV3,B3SA3,BRAV3
B3SA3-BRFS3,B3SA3,BRFS3
B3SA3-BRKM5,B3SA3,BRKM5
B3SA3-CMIG4,B3SA3,CMIG4
B3SA3-CMIN3,B3SA3,CMIN3
B3SA3-COGN3,B3SA3,COGN3
B3SA3-CPFE3,B3SA3,CPFE3
B3SA3-CPLE6,B3SA3,CPLE6
B3SA3-CSAN3,B3SA3,CSAN3
B3SA3-CSNA3,B3SA3,CSNA3
B3SA3-CVCB3,B3SA3,CVCB3
B3SA3-CXSE3,B3SA3,CXSE3
B3SA3-CYRE3,B3SA3,CYRE3
B3SA3-DIRR3,B3SA3,DIRR3
B3SA3-EGIE3,B3SA3,EGIE3
B3SA3-ELET3,B3SA3,ELET3
B3SA3-ELET6,B3SA3,ELET6
B3SA3-EMBR3,B3SA3,EMBR3
B3SA3-ENEV3,B3SA3,ENEV3
B3SA3-ENGI11,B3SA3,ENGI11
B3SA3-EQTL3,B3SA3,EQTL3
B3SA3-FLRY3,B3SA3,FLRY3
B3SA3-GGBR4,B3SA3,GGBR4
B3SA3-GOAU4,B3SA3,GOAU4
B3SA3-HYPE3,B3SA3,HYPE3
B3SA3-IGTI11,B3SA3,IGTI11
B3SA3-ISAE4,B3SA3,ISAE4
B3SA3-ITSA4,B3SA3,ITSA4
B3SA3-ITUB4,B3SA3,ITUB4
B3SA3-KLBN11,B3SA3,KLBN11
B3SA3-LREN3,B3SA3,LREN3
B3SA3-MOTV3,B3SA3,MOTV3
B3SA3-MRFG3,B3SA3,MRFG3
B3SA3-MRVE3,B3SA3,MRVE3
B3SA3-MULT3,B3SA3,MULT3
B3SA3-NATU3,B3SA3,NATU3
B3SA3-PETR3,B3SA3,PETR3
B3SA3-PETR4,B3SA3,PETR4
B3SA3-PETZ3,B3SA3,PETZ3
B3SA3-POMO4,B3SA3,POMO4
B3SA3-PRIO3,B3SA3,PRIO3
B3SA3-PSSA3,B3SA3,PSSA3
B3SA3-RADL3,B3SA3,RADL3
B3SA3-RAIL3,B3SA3,RAIL3
B3SA3-RAIZ4,B3SA3,RAIZ4
B3SA3-RDOR3,B3SA3,RDOR3
B3SA3-RECV3,B3SA3,RECV3
B3SA3-RENT3,B3SA3,RENT3
B3SA3-SANB11,B3SA3,SANB11
B3SA3-SBSP3,B3SA3,SBSP3
B3SA3-SLCE3,B3SA3,SLCE3
B3SA3-SMFT3,B3SA3,SMFT3
B3SA3-SMTO3,B3SA3,SMTO3
B3SA3-STBP3,B3SA3,STBP3
B3SA3-TAEE11,B3SA3,TAEE11
B3SA3-TIMS3,B3SA3,TIMS3
B3SA3-TOTS3,B3SA3,TOTS3
B3SA3-UGPA3,B3SA3,UGPA3
B3SA3-USIM5,B3SA3,USIM5
B3SA3-VALE3,B3SA3,VALE3
B3SA3-VAMO3,B3SA3,VAMO3
B3SA3-VIVA3,B3SA3,VIVA3
B3SA3-VIVT3,B3SA3,VIVT3
B3SA3-WEGE3,B3SA3,WEGE3
B3SA3-YDUQ3,B3SA3,YDUQ3
BBAS3-BBDC3,BBAS3,BBDC3
BBAS3-BBDC4,BBAS3,BBDC4
BBAS3-BBSE3,BBAS3,BBSE3
BBAS3-BEEF3,BBAS3,BEEF3
BBAS3-BPAC11,BBAS3,BPAC11
BBAS3-BRAP4,BBAS3,BRAP4
BBAS3-BRAV3,BBAS3,BRAV3
BBAS3-BRFS3,BBAS3,BRFS3
BBAS3-BRKM5,BBAS3,BRKM5
BBAS3-CMIG4,BBAS3,CMIG4
BBAS3-CMIN3,BBAS3,CMIN3
BBAS3-COGN3,BBAS3,COGN3
BBAS3-CPFE3,BBAS3,CPFE3
BBAS3-CPLE6,BBAS3,CPLE6
BBAS3-CSAN3,BBAS3,CSAN3
BBAS3-CSNA3,BBAS3,CSNA3
BBAS3-CVCB3,BBAS3,CVCB3
BBAS3-CXSE3,BBAS3,CXSE3
BBAS3-CYRE3,BBAS3,CYRE3
BBAS3-DIRR3,BBAS3,DIRR3
BBAS3-EGIE3,BBAS3,EGIE3
BBAS3-ELET3,BBAS3,ELET3
BBAS3-ELET6,BBAS3,ELET6
BBAS3-EMBR3,BBAS3,EMBR3
BBAS3-ENEV3,BBAS3,ENEV3
BBAS3-ENGI11,BBAS3,ENGI11
BBAS3-EQTL3,BBAS3,EQTL3
BBAS3-FLRY3,BBAS3,FLRY3
BBAS3-GGBR4,BBAS3,GGBR4
BBAS3-GOAU4,BBAS3,GOAU4
BBAS3-HYPE3,BBAS3,HYPE3
BBAS3-IGTI11,BBAS3,IGTI11
BBAS3-ISAE4,BBAS3,ISAE4
BBAS3-ITSA4,BBAS3,ITSA4
BBAS3-ITUB4,BBAS3,ITUB4
BBAS3-KLBN11,BBAS3,KLBN11
BBAS3-LREN3,BBAS3,LREN3
BBAS3-MOTV3,BBAS3,MOTV3
BBAS3-MRFG3,BBAS3,MRFG3
BBAS3-MRVE3,BBAS3,MRVE3
BBAS3-MULT3,BBAS3,MULT3
BBAS3-NATU3,BBAS3,NATU3
BBAS3-PETR3,BBAS3,PETR3
BBAS3-PETR4,BBAS3,PETR4
BBAS3-PETZ3,BBAS3,PETZ3
BBAS3-POMO4,BBAS3,POMO4
BBAS3-PRIO3,BBAS3,PRIO3
BBAS3-PSSA3,BBAS3,PSSA3
BBAS3-RADL3,BBAS3,RADL3
BBAS3-RAIL3,BBAS3,RAIL3
BBAS3-RAIZ4,BBAS3,RAIZ4
BBAS3-RDOR3,BBAS3,RDOR3
BBAS3-RECV3,BBAS3,RECV3
BBAS3-RENT3,BBAS3,RENT3
BBAS3-SANB11,BBAS3,SANB11
BBAS3-SBSP3,BBAS3,SBSP3
